name,price,modules,price_per_gb,color,first_word_latency,cas_latency,ddr_gen,mhz
G.Skill Flare X5 64 GB,234.99,"2,32",3.672,Black,9.333,28.0,5,6000
Corsair Vengeance 16 GB,64.98,"2,8",4.061,Black,15.385,40.0,5,5200
G.Skill Ripjaws S5 64 GB,154.99,"2,32",2.422,Black,12.0,36.0,5,6000
Crucial CP2K64G56C46U5 128 GB,299.99,"2,64",2.344,Black,16.429,46.0,5,5600
Timetec PINNACLE Konduit 32 GB,,"2,16",,White,10.0,18.0,4,3600
TEAMGROUP T-Create Expert 32 GB,87.99,"2,16",2.75,Black,12.667,38.0,5,6000
Patriot Viper Venom 32 GB,87.99,"2,16",2.75,Black / White,10.0,32.0,5,6400
G.Skill Flare X5 32 GB,127.99,"2,16",4.0,Black,9.333,28.0,5,6000
Crucial Pro 32 GB,81.99,"2,16",2.562,Black,11.875,38.0,5,6400
Corsair Vengeance RGB 128 GB,551.99,"4,32",4.312,Black,14.286,40.0,5,5600
Corsair Vengeance RGB Pro SL 32 GB,109.99,"2,16",3.437,White / Black,10.0,18.0,4,3600
Corsair Dominator Titanium 96 GB,424.99,"2,48",4.427,Black,9.697,32.0,5,6600
Corsair Vengeance 64 GB,229.99,"2,32",3.594,Black / Gray,10.0,32.0,5,6400
Kingston FURY Beast 16 GB,67.98,"2,8",4.249,Black,10.0,30.0,5,6000
TEAMGROUP T-Create Classic 32 GB,74.99,"2,16",2.343,Black,16.429,46.0,5,5600
Corsair Vengeance 32 GB,86.99,"2,16",2.718,Black,12.0,36.0,5,6000
Patriot Viper Elite 5 RGB 32 GB,102.99,"2,16",3.218,White,10.0,30.0,5,6000
TEAMGROUP T-Force Delta RGB 64 GB,184.99,"2,32",2.89,White,12.667,38.0,5,6000
Corsair Vengeance RGB 64 GB,259.99,"2,32",4.062,White / Silver,10.0,30.0,5,6000
G.Skill Trident Z5 Royal 32 GB,154.99,"2,16",4.843,White,9.375,30.0,5,6400
Kingston FURY Beast 32 GB,106.63,"2,16",3.332,Black,12.857,36.0,5,5600
Corsair Vengeance RGB 32 GB,96.99,"2,16",3.031,White,15.385,40.0,5,5200
TEAMGROUP T-Force Vulcan Z 32 GB,66.03,"2,16",2.063,Gray,10.0,16.0,4,3200
G.Skill Ripjaws V 32 GB,89.99,"2,16",2.812,Black,8.889,16.0,4,3600
