item_name,category_name,item_price_in_php,stocks
"Gigabyte Z790M Aorus Elite AX, LGA1700, mATX, 4*ddr5, WiFi6",Motherboard,15599.0,1
"Gigabyte Z790M Aorus Elite AX ICE, LGA1700, mATX, 4*ddr5, WiFi6",Motherboard,15580.0,1
"Gigabyte Z790 Aorus Pro X, LGA1700, ATX, 4*ddr5, WiFi7",Motherboard,26599.0,1
"Gigabyte Z790I Aorus Ultra, LGA1700, ITX, 2*ddr5, WiFi6",Motherboard,19999.0,2
"Gigabyte Z790 Aero G, LGA1700, ATX, 4*ddr5, WiFi6",Motherboard,20599.0,3
"Gigabyte Z790 Eagle AX, LGA1700, ATX, 4*ddr5, WiFi6",Motherboard,12550.0,2
"Gigabyte B760M Aorus Elite AX, LGA1700, mATX, 4*ddr5, WiFi6",Motherboard,10899.0,2
"Gigabyte B760M Aorus Elite X AX, LGA1700, mATX, 4*ddr5, WiFi6",Motherboard,12625.0,2
"Gigabyte B760 Gaming X AX, LGA1700, ATX, 4*ddr5, WiFi6",Motherboard,11299.0,3
"Gigabyte B760M DS3H AX, LGA1700, mATX, 4*ddr5, WiFi6",Motherboard,7650.0,13
"Gigabyte B760M DS3H, LGA1700, mATX, 4*ddr5",Motherboard,6699.0,7
"NZXT N7 Z790 black, LGA1700, ATX, 4*ddr5, WiFi6, pn: N7-Z79XT-B1",Motherboard,17450.0,1
"NZXT N7 Z790 white, LGA1700, ATX, 4*ddr5, WiFi6, pn: N7-Z79XT-W1",Motherboard,17450.0,0
"Asus ROG Crosshair 6 Hero, AM4, X370, ATX, 4*ddr4",Motherboard,8350.0,4
"Asus ROG Strix X370-F Gaming, AM4, X370, ATX, 4*ddr4",Motherboard,6999.0,4
"Asus Prime B450M-K 2/CSM, AM4, mATX, 2*ddr4",Motherboard,3950.0,86
"Asus Prime A520M-K, AM4, mATX, 2*ddr4",Motherboard,3499.0,0
"Asus Prime A520M-K/CSM, AM4, mATX, 2*ddr4",Motherboard,3750.0,17
"Asus TUF Gaming B550M Plus WiFi II, AM4, mATX, 4*ddr4",Motherboard,9950.0,13
"Asus Prime B550M-A WiFi II, AM4, mATX, 4*ddr4",Motherboard,5999.0,22
"Asus ROG Strix B550-A Gaming, AM4, ATX, 4*ddr4",Motherboard,11525.0,4
"Asus ROG Strix B550-F Gaming WiFi II, AM4, ATX, 4*ddr4",Motherboard,11725.0,4
"MSI A520M-A Pro, AM4, mATX, 2*ddr4",Motherboard,3250.0,10
"MSI MAG B550M Mortar Max WiFi, AM4, mATX, 4*ddr4",Motherboard,9150.0,0
"MSI MAG B550 Tomahawk Max WiFi, AM4, ATX, 4*ddr4",Motherboard,10500.0,8
"MSI B550M Pro VDH WiFi, AM4, B550, mATX, 4*ddr4",Motherboard,5899.0,13
"MSI B550M A Pro, AM4, mATX, 2*ddr4",Motherboard,4599.0,6
"Gigabyte B450M DS3H V2, AM4, mATX, 4*ddr4",Motherboard,3780.0,21
"Gigabyte A520I AC, AM4, ITX, 2*ddr4, WiFi",Motherboard,6350.0,0
"Gigabyte A520M DS3H AC, AM4, mATX, 4*ddr4, WiFi",Motherboard,4180.0,1
"Gigabyte A520M DS3H V2, AM4, mATX, 2*ddr4",Motherboard,3980.0,24
"Gigabyte A520M K V2, AM4, mATX, 2*ddr4",Motherboard,3450.0,5
"Gigabyte B550M DS3H, AM4, mATX, 4*ddr4",Motherboard,4999.0,8
"Gigabyte B550M Aorus Elite, AM4, mATX, 4*ddr4",Motherboard,6199.0,2
"Gigabyte B550M DS3H AC, AM4, mATX, 4*ddr4, WiFi",Motherboard,5699.0,13
"Gigabyte B550M Aorus Elite AX, AM4, mATX, 4*ddr4, WiFi",Motherboard,7150.0,0
"Gigabyte B550 Aorus Elite AX V2, AM4, ATX, 4*ddr4, WiFi",Motherboard,10999.0,3
"Gigabyte B550I Aorus Pro AX, AM4, ITX, 2*ddr4, WiFi",Motherboard,11250.0,3
"ASRock B550M Pro 4, AM4, mATX, 4*ddr4",Motherboard,5880.0,7
"ASRock B550M Pro SE, AM4, mATX, 4*ddr4",Motherboard,5450.0,6
"NZXT N7 B550 black, AM4, ATX, 4*ddr4, WiFi, pn: N7-B55XT-B1",Motherboard,12625.0,1
"NZXT N7 B550 white, AM4, ATX, 4*ddr4, WiFi, pn: N7-B55XT-W1",Motherboard,12625.0,1
"Asus ROG Crosshair X670E Hero, AM5, ATX, 4*ddr5, WiFi",Motherboard,36899.0,0
"Asus ROG Crosshair X670E Extreme, AM5, ATX, 4*ddr5, WiFi",Motherboard,47299.0,0
"Asus ROG Strix X670E-A Gaming WiFi, AM5, ATX, 4*ddr5",Motherboard,21850.0,3
"Asus ROG Strix X670E-E Gaming WiFi, AM5, ATX, 4*ddr5",Motherboard,29699.0,3
"Asus ROG Strix X670E-F Gaming WiFi, AM5, ATX, 4*ddr5",Motherboard,26499.0,3
"Asus TUF Gaming B650M Plus WiFi, AM5, mATX, 4*ddr5",Motherboard,13350.0,6
"Asus TUF Gaming B650M-E, AM5, mATX, 4*ddr5",Motherboard,11299.0,2
"Asus TUF Gaming B650-E WiFi, AM5, ATX, 4*ddr5",Motherboard,13350.0,3
"Asus Prime B650M-A II, AM5, mATX, 4*ddr5",Motherboard,7799.0,5
"Asus Prime B650M-A WiFi II, AM5, mATX, 4*ddr5",Motherboard,9325.0,3
"Asus ROG Strix B650-A Gaming WiFi, AM5, ATX, 4*ddr5",Motherboard,15999.0,3
"Asus ROG Strix B650E-E Gaming WiFi, AM5, ATX, 4*ddr5",Motherboard,22280.0,4
"Asus ROG Strix B650E-F Gaming WiFi, AM5, ATX, 4*ddr5",Motherboard,18500.0,2
"Asus ROG Strix B650E-I Gaming WiFi, AM5, ITX, 2*ddr5",Motherboard,21399.0,2
"Asus TUF Gaming X670E-Plus WiFi, AM5, ATX, 4*ddr5",Motherboard,20999.0,0
"Asus ProArt X670E-Creator WiFi, AM5, ATX, 4*ddr5",Motherboard,29599.0,0
"Asus Prime X670E-Pro WiFi-CSM, AM5, ATX, 4*ddr5",Motherboard,17699.0,3
"Asus Prime A620M-K-CSM, AM5, mATX, 2*ddr5",Motherboard,6299.0,0
"Asus TUF Gaming A620M Plus, AM5, mATX, 4*ddr5",Motherboard,7999.0,3
"Asus TUF Gaming A620M Plus WiFi, AM5, mATX, 4*ddr5",Motherboard,8450.0,2
"Asus ROG Crosshair X870E Hero, AM5, ATX, 4*ddr5, WiFi7",Motherboard,43899.0,0
"Asus ROG Strix X870E-E Gaming WiFi, AM5, ATX, 4*ddr5",Motherboard,34199.0,0
"Asus ProArt X870E-Creator WiFi, AM5, ATX, 4*ddr5",Motherboard,32599.0,0
"Asus ROG Strix X870-A Gaming WiFi, AM5, ATX, 4*ddr5",Motherboard,27350.0,0
"Asus ROG Strix X870-F Gaming WiFi, AM5, ATX, 4*ddr5",Motherboard,29599.0,0
"Asus ROG Strix X870-I Gaming WiFi, AM5, ITX, 4*ddr5",Motherboard,32799.0,0
"Asus TUF Gaming X870 Plus WiFi, AM5, ATX, 4*ddr5",Motherboard,23699.0,0
"Asus Prime X870-P WiFi-CSM, AM5, ATX, 4*ddr5",Motherboard,19799.0,0
"MSI MPG X670E Carbon WiFi, AM5, ATX, 4*ddr5",Motherboard,28425.0,1
"MSI X670E Gaming Plus WiFi, AM5, ATX, 4*ddr5",Motherboard,15650.0,1
"MSI MAG X670E Tomahawk WiFi, AM5, ATX, 4*ddr5",Motherboard,18699.0,1
"MSI MPG B650 Carbon WiFi, AM5, ATX, 4*ddr5",Motherboard,17699.0,2
"MSI MPG B650 EDGE WiFi, AM5, ATX, 4*ddr5",Motherboard,15599.0,3
"MSI MAG B650 Tomahawk WiFi, AM5, ATX, 4*ddr5",Motherboard,13950.0,5
"MSI B650 Gaming Plus WiFi, AM5, ATX, 4*ddr5",Motherboard,12350.0,4
"MSI MAG B650M Mortar WiFi, AM5, mATX, 4*ddr5",Motherboard,12999.0,5
"MSI Pro B650M-A WiFi, AM5, mATX, 4*ddr5",Motherboard,10999.0,6
"MSI Pro B650M-P, AM5, mATX, 4*ddr5",Motherboard,7699.0,1
"MSI Pro B650M-B, AM5, mATX, 2*ddr5",Motherboard,5999.0,2
"MSI B650M Project Zero, AM5, mATX, 4*ddr5, WiFi",Motherboard,13399.0,1
"MSI B650M Gaming Plus WiFi, AM5, mATX, 4*ddr5",Motherboard,8850.0,7
"MSI MPG B650I EDGE WiFi, AM5, ITX, 2*ddr5",Motherboard,13625.0,4
"MSI Pro A620M-E, AM5, mATX, 2*ddr5",Motherboard,5650.0,2
"MSI Pro X870 P WiFi, AM5, ATX, 4*ddr5",Motherboard,16399.0,0
"Gigabyte X670 Gaming X AX V2, AM5, ATX, 4*ddr5, WiFi",Motherboard,15325.0,2
"Gigabyte B650M Aorus Elite AX, AM5, mATX, 4*ddr5, WiFi",Motherboard,10599.0,4
"Gigabyte B650M Gaming X AX, AM5, mATX, 4*ddr5, WiFi",Motherboard,11550.0,4
"Gigabyte B650 Aero G, AM5, ATX, 4*ddr5, WiFi",Motherboard,16750.0,2
"Gigabyte B650 Eagle AX, AM5, ATX, 4*ddr5, WiFi",Motherboard,11199.0,2
"Gigabyte B650M D3HP AX, AM5, mATX, 4*ddr5, WiFi",Motherboard,8599.0,3
"Gigabyte B650M K, AM5, mATX, 4*ddr5",Motherboard,7399.0,2
"Gigabyte A620M S2H, AM5, mATX, 2*ddr5",Motherboard,5850.0,3
"Gigabyte B650 Aorus Elite AX V2, AM5, ATX, 4*ddr5, WiFi",Motherboard,12650.0,0
"Gigabyte B650 Aorus Elite AX ICE, AM5, ATX, 4*ddr5, WiFi",Motherboard,13199.0,4
"Gigabyte B650E Aorus Elite X AX ICE, AM5, ATX, 4*ddr5, WiFi",Motherboard,15450.0,2
"Gigabyte B650E Aorus Stealth ICE, AM5, ATX, 4*ddr5, WiFi7",Motherboard,17350.0,1
"Gigabyte B650I AX, AM5, ITX, 2*ddr5, WiFi",Motherboard,9899.0,5
"Gigabyte X870E Aorus Master, AM5, ATX, 4*ddr5, WiFi7",Motherboard,31599.0,0
"Gigabyte X870E Aorus Elite WiFi7, AM5, ATX, 4*ddr5",Motherboard,19699.0,0
"Gigabyte X870 Aorus Elite WiFi7, AM5, ATX, 4*ddr5",Motherboard,18450.0,0
"Gigabyte X870 Aorus Elite WiFi7 ICE, AM5, ATX, 4*ddr5",Motherboard,18799.0,0
"Gigabyte X870 Gaming X WiFi7, AM5, ATX, 4*ddr5",Motherboard,14999.0,0
"Gigabyte X870 Gaming WiFi6, AM5, ATX, 4*ddr5",Motherboard,13199.0,0
"Gigabyte X870 Eagle WiFi7, AM5, ATX, 4*ddr5",Motherboard,13899.0,0
"ASRock X670E Taichi Carrara, AM5, ATX, 4*ddr4",Motherboard,19799.0,0
"ASRock B650M PG Riptide, AM5, mATX, 4*ddr5",Motherboard,10599.0,2
"ASRock B650M PG Riptide WiFi, AM5, mATX, 4*ddr5",Motherboard,11450.0,2
"ASRock B650M Pro RS WiFi, AM5, mATX, 4*ddr5",Motherboard,9799.0,6
"ASRock B650M-H/M.2+, AM5, mATX, 2*ddr5",Motherboard,6999.0,1
"ASRock B650M Pro RS, AM5, mATX, 4*ddr5",Motherboard,8899.0,2
"ASRock B650M-HDV/M.2, AM5, mATX, 2*ddr5",Motherboard,7199.0,4
"NZXT N7 B650E black, AM5, ATX, 4*ddr5, WiFi6, pn: N7-B65XT-B1",Motherboard,19499.0,0
