item_name,category_name,item_price_in_php,stocks
"2tb WD Green SN350 SSD NVMe, R|W: 3200|3000, pn: WDS200T3G0C | WDS200T3G0C-00AZL0",Storage,7880.0,4
"250gb WD Blue SN570 SSD NVMe, R|W: 3300|1200, pn: WDS250G3B0C",Storage,1999.0,0
"500gb WD Blue SN570 SSD NVMe, R|W: 3500|2300, pn: WDS500G3B0C",Storage,2899.0,0
"500gb WD Blue SN580 SSD NVMe, R|W: 4000|3600, pn: WDS500G3B0E",Storage,3150.0,9
"1tb WD Blue SN580 SSD NVMe, R|W: 4150|4150, pn: WDS100T3B0E",Storage,4699.0,0
"250gb WD Black SN770 SSD NVMe, R|W: 4000|2000, pn: WDS250G3X0E",Storage,2699.0,4
"500gb WD Black SN770 SSD NVMe, R|W: 5000|4000, pn: WDS500G3X0E",Storage,3599.0,4
"1tb WD Black SN770 SSD NVMe, R|W: 5150|4900, pn: WDS100T3X0E",Storage,5280.0,14
"1tb WD Black SN850X SSD NVMe, R|W: 7300|6300, pn: WDS100T2X0E",Storage,7150.0,14
"2tb WD Black SN850X SSD NVMe, R|W: 7300|6600, pn: WDS200T2X0E",Storage,12425.0,12
"1tb WD Black SN850X SSD NVMe heatsink, R|W: 7300|6300, pn: WDS100T2XHE",Storage,8550.0,5
"2tb WD Black SN850X SSD NVMe heatsink, R|W: 7300|6600, pn: WDS200T2XHE",Storage,13825.0,2
"256gb Adata Legend 700 SSD NVMe, R|W: 2000|1600, pn: ALEG-700-256GCS",Storage,1799.0,0
"512gb Kingston KC3000 SSD NVMe, R|W: 7000|3900, pn: SKC3000S/512G",Storage,3350.0,8
"1tb Kingston KC3000 SSD NVMe, R|W: 7000|6000, pn: SKC3000S/1024G",Storage,5250.0,4
"2tb Kingston KC3000 SSD NVMe, R|W: 7000|7000, pn: SKC3000D/2048G",Storage,8550.0,3
"500gb Kingston Fury Renegade SSD NVMe, R|W: 7300|3900, pn: SFYRS/500G",Storage,3380.0,5
"1tb Kingston Fury Renegade SSD NVMe, R|W: 7300|6000, pn: SFYRS/1000G",Storage,5250.0,7
"2tb Kingston Fury Renegade SSD NVMe, R|W: 7300|7000, pn: SFYRD/2000G",Storage,8550.0,2
"250gb Kingston NV2 SSD NVMe, R|W: 3000|1700, pn: SNV2S/250G",Storage,1750.0,20
"500gb Kingston NV2 SSD NVMe, R|W: 3500|2100, pn: SNV2S/500G",Storage,2150.0,13
"1tb Kingston NV2 SSD NVMe, R|W: 3500|2100, pn: SNV2S/1000G",Storage,3080.0,80
"2tb Kingston NV2 SSD NVMe, R|W: 3500|2800, pn: SNV2S/2000G",Storage,5999.0,0
"4tb Kingston NV2 SSD NVMe, R|W: 3500|2800, pn: SNV2S/4000G",Storage,14250.0,2
"500gb Kingston NV3 SSD NVMe, R|W: 5000|3000, pn: SNV3S/500G",Storage,2599.0,0
"1tb Kingston NV3 SSD NVMe, R|W: 6000|4000, pn: SNV3S/1000G",Storage,3780.0,0
"2tb Kingston NV3 SSD NVMe, R|W: 6000|5000, pn: SNV3S/2000G",Storage,7299.0,0
"256gb Patriot P300 SSD NVMe, R|W: 1700|1100 290k|260k, pn: P300P256GM28",Storage,1399.0,163
"512gb Patriot P300 SSD NVMe, R|W: 1700|1100 290k|260k, pn: P300P512GM28",Storage,2199.0,163
"1tb Patriot P300 SSD NVMe, R|W: 2100|1650 290k|260k, pn: P300P1TBM28",Storage,3799.0,76
"2tb Patriot P300 SSD NVMe, R|W: 2100|1650 290k|260k, pn: P300P2TBM28",Storage,6999.0,24
"500gb Patriot VP4300 Lite SSD NVMe, R|W: 7000|4000, pn: VP4300L500GM28H",Storage,3180.0,30
"1tb Patriot VP4300 Lite SSD NVMe, R|W: 7400|6400, pn: VP4300L1TBM28H",Storage,4950.0,38
"2tb Patriot VP4300 Lite SSD NVMe, R|W: 7400|6400, pn: VP4300L2TBM28H",Storage,8699.0,35
"1tb Patriot P400 SSD NVMe, R|W: 5000|3300, pn: P400P1TBM28H",Storage,4680.0,25
"2tb Patriot P400 SSD NVMe, R|W: 5000|3300, pn: P400P2TBM28H",Storage,7980.0,25
"250gb Patriot P400 Lite SSD NVMe, R|W: 3200|1300, pn: P400LP250GM28H",Storage,1699.0,34
"500gb Patriot P400 Lite SSD NVMe, R|W: 3500|2400, pn: P400LP500GM28H",Storage,2499.0,10
"1tb Patriot P400 Lite SSD NVMe, R|W: 3500|2700, pn: P400LP1KGM28H",Storage,2999.0,2
"2tb Patriot P400 Lite SSD NVMe, R|W: 3500|2700, pn: P400LP2KGM28H",Storage,7999.0,7
"512gb Patriot P320 SSD NVMe, R|W: 3000|2200, pn: P320P512GM28",Storage,2199.0,40
"1tb Patriot P320 SSD NVMe, R|W: 3000|2200, pn: P3201TBM28",Storage,3980.0,18
"500gb Gigabyte 2500E SSD NVMe, R|W: 2300|1500 60k|240K, pn: GP-G325E500G",Storage,2299.0,3
"500gb Aorus SSD NVMe, R|W: 5000|3800, pn: GP-AG450E500G-G",Storage,3299.0,2
"1tb Lexar NQ710 SSD NVMe, R|W: 5000|3300, pn: LNQ710X001T",Storage,4150.0,142
"1tb Corsair MP600 Core XT SSD NVMe, R|W: 5000|4400, pn: CSSD-F1000GBMP600CXT",Storage,5225.0,4
"1tb Corsair MP600 Pro LPX black, SSD NVMe, R|W: 7100|5800, pn: CSSD-F1000GBMP600PLP",Storage,5999.0,0
"1tb Corsair MP600 Pro LPX white, SSD NVMe, R|W: 7100|5800, pn: CSSD-F1000GBMP600PLPW",Storage,5999.0,0
"1tb Corsair MP600 Elite SSD NVMe, R|W: 7000|6500, pn: CSSD-F1000GBMP600ENH",Storage,4950.0,0
"1tb Corsair MP600 Elite SSD NVMe heatsink, R|W: 7000|6500, pn: CSSD-F1000GBMP600EHS",Storage,5399.0,0
"1tb Corsair MP600 Core Mini SSD NVMe, R|W: 5000|3800, for ROG Ally, Legion Go & Steam Deck, pn: CSSD-F1000GBMP600CMN",Storage,5599.0,0
"2tb Corsair MP600 Core Mini SSD NVMe, R|W: 5000|3800, for ROG Ally, Legion Go & Steam Deck, pn: CSSD-F2000GBMP600CMN",Storage,12499.0,0
"1tb Corsair MP600 Mini SSD NVMe, R|W: 7000|6200, for ROG Ally, Legion Go & Steam Deck, pn: CSSD-F1000GBMP600MNR2",Storage,5999.0,0
"500gb MSI Spatium M371 SSD NVMe, R|W: 2350|1900",Storage,2480.0,14
"500gb MSI Spatium M450 SSD NVMe, R|W: 3600|3000",Storage,2725.0,12
"1tb MSI Spatium M450 SSD NVMe, R|W: 3600|3000",Storage,4625.0,6
"1tb Samsung T7 Shield ext SSD black, portable ext drive, USB3.2, 1050mb/s, pn: MU-PE1T0S/WW",Storage,8680.0,0
