,name,price,core_count,core_clock,boost_clock,microarchitecture,tdp,graphics
122,Intel Core i5-11600KF,169.89,6,3.9,4.9,Rocket Lake,125,
123,Intel Core i3-10105,99.0,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630
124,Intel Core i5-10600KF,236.92,6,4.1,4.8,Comet Lake,125,
125,AMD Ryzen 5 5600T,160.19,6,3.5,4.5,Zen 3,65,
126,Intel Core i9-10900KF,,10,3.7,5.3,Comet Lake,125,
127,Intel Core i9-14900,571.86,24,2.0,5.8,Raptor Lake Refresh,65,Intel UHD Graphics 770
128,Intel Core i5-10500,229.95,6,3.1,4.5,Comet Lake,65,Intel UHD Graphics 630
129,Intel Core i9-10980XE,1004.04,18,3.0,4.8,Cascade Lake,165,
130,Intel Core i9-13900,414.99,24,2.0,5.6,Raptor Lake,65,Intel UHD Graphics 770
131,Intel Core i5-12600,249.99,6,3.3,4.8,Alder Lake,65,Intel UHD Graphics 770
132,Intel Core i9-10900F,,10,2.8,5.2,Comet Lake,65,
133,Intel Core i9-10900,390.77,10,2.8,5.2,Comet Lake,65,Intel UHD Graphics 630
134,Intel Core i9-10900X,479.99,10,3.7,4.7,Cascade Lake,165,
135,Intel Core i5-13500T,,14,1.6,4.6,Raptor Lake,35,Intel UHD Graphics 770
136,Intel Core i9-13900F,516.43,24,2.0,5.6,Raptor Lake,65,
137,Intel Core i5-11600,140.0,6,2.8,4.8,Rocket Lake,65,Intel UHD Graphics 750
138,Intel Core i5-11500,160.0,6,2.7,4.6,Rocket Lake,65,Intel UHD Graphics 750
139,AMD Ryzen 5 5600XT,,6,3.7,4.7,Zen 3,65,
140,Intel Core i9-11900F,329.0,8,2.5,5.2,Rocket Lake,65,
141,Intel Core i9-12900F,359.89,16,2.4,5.1,Alder Lake,65,
142,Intel Core i9-12900,391.4,16,2.4,5.1,Alder Lake,65,Intel UHD Graphics 770
143,Intel Core i5-14500T,,14,1.7,4.8,Raptor Lake Refresh,35,Intel UHD Graphics 770
144,Intel Core i3-12100T,,4,2.2,4.1,Alder Lake,35,Intel UHD Graphics 730
145,Intel Core i5-10600,529.95,6,3.3,4.8,Comet Lake,65,Intel UHD Graphics 630
146,Intel Core i9-10920X,769.87,12,3.5,4.8,Cascade Lake,165,
147,Intel Core i9-13900T,,24,1.1,5.3,Raptor Lake,35,Intel UHD Graphics 770
148,Intel Core i9-11900,390.99,8,2.5,5.2,Rocket Lake,65,Intel UHD Graphics 750
149,AMD Ryzen 5 5600T,,6,3.5,4.5,Zen 3,65,
150,Intel Core i7-13700T,,16,1.4,4.9,Raptor Lake,35,
151,Intel Core i9-10940X,699.99,14,3.3,4.8,Cascade Lake,165,
152,Intel Core i5-13600,,14,2.7,5.0,Raptor Lake,65,Intel UHD Graphics 770
153,Intel Core i3-10100T,,4,3.0,3.8,Comet Lake,35,Intel UHD Graphics 630
154,Intel Core i3-13100T,,4,2.5,4.2,Raptor Lake,35,Intel UHD Graphics 730
155,Intel Core i9-10850K,,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630
156,Intel Core i3-10300,,4,3.7,4.4,Comet Lake,65,Intel UHD Graphics 630
157,Intel Core i5-10600K,,6,4.1,4.8,Comet Lake,125,Intel UHD Graphics 630
158,Intel Core i7-10700K Avengers Collector's Edition,741.0,8,3.8,5.1,Comet Lake,125,Intel UHD Graphics 630
159,Intel Core i3-10320,120.0,4,3.8,4.6,Comet Lake,65,Intel UHD Graphics 630
160,Intel Core i9-10850KA Avengers Limited Edition,,10,3.6,5.2,Comet Lake,125,Intel UHD Graphics 630
161,Intel Core i9-10900K,,10,3.7,5.3,Comet Lake,125,Intel UHD Graphics 630
162,Intel Core i3-10325,,4,3.9,4.7,Comet Lake,65,Intel UHD Graphics 630
163,Intel Core i3-10305,,4,3.8,4.5,Comet Lake,65,Intel UHD Graphics 630
