item_name,category_name,item_price_in_php,stocks,total_capacity_gb,modules,ddr_gen,mhz,cl,voltage
"16gb ddr5 6000 Patriot Venom RGB, CL30 1.35v, pn: PVVR516G60C30",Ram,3499.0,0,16,"1,16",5,6000,30,1.35
"16gb ddr5 6000 Tforce Delta RGB black, CL38 1.25v, pn: FF3D516G6000HC38A01",Ram,3799.0,3,16,"1,16",5,6000,38,1.25
"16gb ddr5 6000 Tforce Delta RGB white, CL38 1.25v, pn: FF4D516G6000HC38A01",Ram,3799.0,2,16,"1,16",5,6000,38,1.25
"32gb ddr5 5200 Patriot Venom, CL36 1.2v, pn: PVV532G52C36",Ram,4699.0,0,32,"1,32",5,5200,36,1.2
"32gb ddr5 5200 Patriot Venom RGB, CL36 1.2v, pn: PVVR532G52C36",Ram,5199.0,0,32,"1,32",5,5200,36,1.2
"32gb ddr5 5600 Patriot Venom, CL36 1.25v, pn: PVV532G56C36",Ram,5199.0,0,32,"1,32",5,5600,36,1.25
"32gb ddr5 5600 Patriot Venom RGB, CL36 1.25v, pn: PVVR532G56C36",Ram,5599.0,0,32,"1,32",5,5600,36,1.25
"32gb ddr5 6000 Kingston Fury Beast white, CL40 1.35v, pn: KF560C40BW-32",Ram,6699.0,5,32,"1,32",5,6000,40,1.35
"32gb ddr5 6000 Kingston Fury Beast RGB white, CL40 1.35v, pn: KF560C40BWA-32",Ram,7199.0,6,32,"1,32",5,6000,40,1.35
"32gb ddr5 6000 Patriot Venom, CL30 1.35v, pn: PVV532G60C30",Ram,5599.0,0,32,"1,32",5,6000,30,1.35
"32gb ddr5 6000 Patriot Venom RGB, CL30 1.35v, pn: PVVR532G60C30",Ram,6299.0,0,32,"1,32",5,6000,30,1.35
"16gb (dual) ddr5 5200 Kingston Fury Beast, CL40 1.25v, pn: KF552C40BBK2-16",Ram,3880.0,11,16,"2,8",5,5200,40,1.25
"16gb (dual) ddr5 5600 Patriot Venom, CL40 1.25v, pn: PVV516G560C40K",Ram,3799.0,5,16,"2,8",5,5600,40,1.25
"16gb (dual) ddr5 6000 Kingston Fury Beast, CL40 1.35v, pn: KF560C40BBK2-16",Ram,4280.0,0,16,"2,8",5,6000,40,1.35
"16gb (dual) ddr5 6000 Kingston Fury Beast RGB, CL40 1.35v, pn: KF560C40BBAK2/16",Ram,5399.0,2,16,"2,8",5,6000,40,1.35
"32gb (dual) ddr5 5200 Corsair Dominator Platinum black, CL40 1.25v, pn: CMT32GX5M2B5200C40",Ram,7899.0,1,32,"2,16",5,5200,40,1.25
"32gb (dual) ddr5 5200 Corsair Dominator Platinum white, CL40 1.25v, pn: CMT32GX5M2B5200C40W",Ram,7899.0,0,32,"2,16",5,5200,40,1.25
"32gb (dual) ddr5 5600 Kingston Fury Beast, CL36 1.25v, pn: KF556C36BBEK2-32",Ram,6699.0,0,32,"2,16",5,5600,36,1.25
"32gb (dual) ddr5 5600 Kingston Fury Beast RGB, CL36 1.25v, pn: KF556C36BBEAK2-32",Ram,6999.0,0,32,"2,16",5,5600,36,1.25
"32gb (dual) ddr5 5600 Patriot Venom, CL36 1.25v, pn: PVV532G560C36K",Ram,5350.0,5,32,"2,16",5,5600,36,1.25
"32gb (dual) ddr5 5600 G.Skill Trident Z5 RGB silver, CL36 1.2v, pn: F5-5600J3636C16GX2-TZ5RS",Ram,8280.0,2,32,"2,16",5,5600,36,1.2
"32gb (dual) ddr5 5600 G.Skill Ripjaws S5 black, CL36 1.2v, pn: F5-5600J3636C16GX2-RS5K",Ram,7399.0,0,32,"2,16",5,5600,36,1.2
"32gb (dual) ddr5 5600 G.Skill Ripjaws S5 white, CL36 1.2v, pn: F5-5600J3636C16GX2-RS5W",Ram,7399.0,0,32,"2,16",5,5600,36,1.2
"32gb (dual) ddr5 5600 G.Skill Ripjaws S5 black, CL46 1.1v, pn: F5-5600J4645A16GX2-RS5K",Ram,6280.0,0,32,"2,16",5,5600,46,1.1
"32gb (dual) ddr5 5600 G.Skill Ripjaws S5 white, CL46 1.1v, pn: F5-5600J4645A16GX2-RS5W",Ram,6280.0,0,32,"2,16",5,5600,46,1.1
