,brand,clean_name,item_price_in_php,stocks,total_capacity_gb,num_modules,capacity_per_module_gb,ddr_gen,mhz,cl,voltage
298,Kingston,Kingston Fury Beast RGB,12799.0,0,64,2,32,5,5600,40.0,1.25
299,G.Skill,G.Skill Trident Z5 RGB black,12799.0,3,64,2,32,5,5600,36.0,1.25
300,G.Skill,G.Skill Ripjaws S5 black,11499.0,3,64,2,32,5,5600,46.0,1.1
301,G.Skill,G.Skill Ripjaws S5 white,11499.0,1,64,2,32,5,5600,46.0,1.1
302,Kingston,Kingston Fury Beast white,11999.0,1,64,2,32,5,6000,36.0,1.35
303,Kingston,Kingston Fury Beast white,12999.0,1,64,2,32,5,6000,30.0,1.4
304,Kingston,Kingston Fury Renegade RGB white,14299.0,2,64,2,32,5,6000,32.0,1.35
305,Patriot,Patriot Venom,11750.0,0,64,2,32,5,6000,36.0,1.35
306,Tforce,Tforce Delta RGB black,13999.0,4,64,2,32,5,6000,38.0,1.25
307,Tforce,Tforce Delta RGB white,13999.0,2,64,2,32,5,6000,38.0,1.25
308,G.Skill,G.Skill Ripjaws M5 RGB black,14650.0,1,64,2,32,5,6000,32.0,1.4
309,G.Skill,G.Skill Ripjaws M5 RGB white,14650.0,2,64,2,32,5,6000,32.0,1.4
310,G.Skill,G.Skill Trident Z5 Neo RGB black,15150.0,0,64,2,32,5,6000,32.0,1.4
311,G.Skill,G.Skill Trident Z5 RGB white,14399.0,3,64,2,32,5,6000,36.0,1.35
312,G.Skill,G.Skill Trident Z5 RGB black,15399.0,0,64,2,32,5,6000,32.0,1.4
313,G.Skill,G.Skill Trident Z5 RGB black,15150.0,0,64,2,32,5,6000,30.0,1.4
314,G.Skill,G.Skill Trident Z5 RGB white,15150.0,2,64,2,32,5,6000,30.0,1.4
315,Corsair,Corsair Dominator Platinum RGB black,14799.0,0,64,2,32,5,6000,40.0,1.35
316,Patriot,Patriot Elite 5 White,13180.0,2,64,2,32,5,6200,42.0,1.35
317,Kingston,Kingston Fury Beast,14950.0,3,64,2,32,5,6400,32.0,1.4
318,Kingston,Kingston Fury Beast RGB,15599.0,1,64,2,32,5,6400,32.0,1.4
319,Patriot,Patriot Venom,12999.0,0,64,2,32,5,6400,32.0,1.4
320,G.Skill,G.Skill Ripjaws M5 RGB black,15150.0,3,64,2,32,5,6400,32.0,1.4
321,G.Skill,G.Skill Ripjaws M5 RGB white,15150.0,2,64,2,32,5,6400,32.0,1.4
322,G.Skill,G.Skill Trident Z5 RGB black,15525.0,4,64,2,32,5,6400,32.0,1.4
323,G.Skill,G.Skill Trident Z5 RGB white,15525.0,2,64,2,32,5,6400,32.0,1.4
324,G.Skill,G.Skill Trident Z5 Royal RGB silver,17799.0,1,64,2,32,5,6400,32.0,1.4
325,Patriot,Patriot Elite 5 White,19699.0,0,96,2,48,5,6000,42.0,1.35
326,G.Skill,G.Skill Ripjaws M5 RGB Neo black,6899.0,0,32,2,16,5,6000,36.0,1.25
327,G.Skill,G.Skill Ripjaws M5 RGB Neo white,6899.0,0,32,2,16,5,6000,36.0,1.25
328,G.Skill,G.Skill Ripjaws M5 RGB Neo black,6799.0,3,32,2,16,5,6000,36.0,1.35
329,G.Skill,G.Skill Ripjaws M5 RGB Neo white,6799.0,4,32,2,16,5,6000,36.0,1.35
330,G.Skill,G.Skill Trident Z5 RGB Neo black,8650.0,1,32,2,16,5,6000,36.0,1.35
331,G.Skill,G.Skill Trident Z5 RGB Neo black,8199.0,3,32,2,16,5,6000,32.0,1.35
332,G.Skill,G.Skill Trident Z5 RGB Neo black,8450.0,9,32,2,16,5,6000,30.0,1.35
333,G.Skill,G.Skill Trident Z5 RGB Neo white,8999.0,1,32,2,16,5,6000,30.0,1.35
334,G.Skill,G.Skill Trident Z5 RGB Neo black,8999.0,4,32,2,16,5,6400,32.0,1.4
335,G.Skill,G.Skill Trident Z5 RGB Neo white CL32-39 1.4v,8999.0,2,32,2,16,5,6400,32.0,1.4
336,G.Skill,G.Skill Trident Z5 RGB Neo black,9999.0,2,32,2,16,5,7200,34.0,1.4
337,G.Skill,G.Skill Trident Z5 RGB Neo white,9999.0,3,32,2,16,5,7200,34.0,1.4
338,G.Skill,G.Skill Trident Z5 RGB Neo black,13599.0,0,32,2,16,5,8000,38.0,1.45
339,G.Skill,G.Skill Trident Z5 RGB Neo black,18599.0,0,48,2,24,5,8000,40.0,1.4
340,G.Skill,G.Skill Trident Z5 RGB black,17500.0,0,48,2,24,5,8000,40.0,1.35
341,G.Skill,G.Skill Trident Z5 RGB Neo black,15150.0,0,64,2,32,5,6000,32.0,1.4
342,G.Skill,G.Skill Trident Z5 RGB Neo black,15199.0,2,64,2,32,5,6000,30.0,1.4
343,G.Skill,G.Skill Trident Z5 RGB Neo white,16699.0,2,64,2,32,5,6000,30.0,1.4
344,Tforce,Tforce Delta RGB black,7999.0,0,32,2,16,5,6000,30.0,1.35
345,Kingston,Kingston Fury Beast white,7899.0,0,32,2,16,5,6400,32.0,1.4
346,Kingston,Kingston Fury Beast white,10500.0,0,32,2,16,5,6800,35.0,1.4
347,G.Skill,G.Skill Trident Z5 RGB Neo white,13999.0,0,32,2,16,5,8000,38.0,1.45
348,Tforce,Tforce Xtreem aRGB white,8199.0,0,32,2,16,5,6000,30.0,1.35
349,G.Skill,G.Skill Flare X5 black,7299.0,0,32,2,16,5,6000,30.0,1.35
350,Tforce,Tforce Xtreem aRGB white,9299.0,0,32,2,16,5,7200,34.0,1.4
351,G.Skill,G.Skill Flare X5 black,10999.0,0,64,2,32,5,6000,36.0,1.35
352,G.Skill,G.Skill Flare X5 white,10999.0,0,64,2,32,5,6000,36.0,1.35
353,G.Skill,G.Skill Flare X5 black,13799.0,0,64,2,32,5,6000,30.0,1.35
354,G.Skill,G.Skill Ripjaws M5 RGB Neo black,11899.0,0,64,2,32,5,6000,36.0,1.35
355,G.Skill,G.Skill Ripjaws M5 RGB Neo white,11899.0,0,64,2,32,5,6000,36.0,1.35
356,G.Skill,G.Skill Trident Z5 RGB Neo black,12399.0,0,64,2,32,5,6000,36.0,1.35
357,G.Skill,G.Skill Trident Z5 RGB Neo white,12399.0,0,64,2,32,5,6000,36.0,1.35
358,G.Skill,G.Skill Trident Z5 RGB black,12999.0,0,64,2,32,5,6000,36.0,1.35
359,G.Skill,G.Skill Ripjaws S5 black,13650.0,0,64,2,32,5,6000,32.0,1.4
360,G.Skill,G.Skill Ripjaws M5 RGB Neo black,11899.0,0,64,2,32,5,6000,36.0,1.35
361,G.Skill,G.Skill Trident Z5 RGB Neo black,12399.0,0,64,2,32,5,6000,36.0,1.35
362,G.Skill,G.Skill Trident Z5 Royal Neo gold,13299.0,0,32,2,16,5,6000,28.0,1.4
363,G.Skill,G.Skill Trident Z5 Royal Neo silver,10999.0,0,32,2,16,5,6000,28.0,1.4
364,G.Skill,G.Skill Trident Z5 Royal Neo gold,13199.0,0,32,2,16,5,6400,30.0,1.4
365,G.Skill,G.Skill Trident Z5 Royal Neo silver,12999.0,0,32,2,16,5,6400,30.0,1.4
366,G.Skill,G.Skill Trident Z5 Royal Neo silver,13999.0,0,32,2,16,5,8000,38.0,1.45
367,G.Skill,G.Skill Trident Z5 Royal Neo gold,20999.0,0,48,2,24,5,6000,28.0,1.35
368,G.Skill,G.Skill Trident Z5 Royal Neo silver,18750.0,0,48,2,24,5,6000,28.0,1.35
369,G.Skill,G.Skill Trident Z5 Royal Neo silver,17550.0,0,48,2,24,5,8000,40.0,1.4
370,G.Skill,G.Skill Trident Z5 Royal Neo silver,18999.0,0,64,2,32,5,6000,30.0,1.4
371,G.Skill,G.Skill Trident Z5 Royal Neo silver,33999.0,0,96,2,48,5,6000,28.0,1.35
372,Tforce,Tforce Delta RGB black,3399.0,0,16,1,16,5,6000,38.0,1.25
373,Tforce,Tforce Delta RGB white,3399.0,0,16,1,16,5,6000,38.0,1.25
374,Tforce,Tforce T-Create Expert,6799.0,0,32,2,16,5,6000,30.0,1.35
375,Tforce,Tforce T-Create Expert,6799.0,0,32,2,16,5,6000,30.0,1.35
376,Tforce,Tforce Xtreem aRGB black,8199.0,0,32,2,16,5,6000,30.0,1.35
377,Tforce,Tforce Delta RGB black,7599.0,0,32,2,16,5,6000,38.0,1.25
378,Tforce,Tforce Delta RGB white,7599.0,0,32,2,16,5,6000,38.0,1.25
379,Tforce,Tforce Xtreem aRGB black,9299.0,0,32,2,16,5,7200,34.0,1.4
380,Tforce,Tforce Delta RGB black,12799.0,0,64,2,32,5,6000,38.0,1.35
381,Tforce,Tforce Delta RGB white,12799.0,0,64,2,32,5,6000,38.0,1.35
382,Tforce,Tforce Delta RGB black,7599.0,0,32,2,16,5,6000,38.0,1.25
383,Tforce,Tforce Delta RGB white,7599.0,0,32,2,16,5,6000,38.0,1.25
384,G.Skill,G.Skill Trident Z5 RGB Neo black,8699.0,0,32,2,16,5,6400,30.0,1.4
385,G.Skill,G.Skill Trident Z5 RGB Neo white,8699.0,0,32,2,16,5,6400,30.0,1.4
386,G.Skill,G.Skill Trident Z5 Royal RGB gold,11599.0,0,32,2,16,5,6400,30.0,1.4
387,G.Skill,G.Skill Trident Z5 Royal RGB gold,11799.0,0,32,2,16,5,7200,34.0,1.4
388,G.Skill,G.Skill Trident Z5 Royal RGB silver,10500.0,0,32,2,16,5,7200,34.0,1.4
389,G.Skill,G.Skill Ripjaws M5 RGB Neo black,11199.0,0,48,2,24,5,6000,30.0,1.35
390,G.Skill,G.Skill Ripjaws M5 RGB Neo white,11199.0,0,48,2,24,5,6000,30.0,1.35
391,G.Skill,G.Skill Trident Z5 RGB Neo black,17799.0,0,48,2,24,5,6000,28.0,1.35
392,G.Skill,G.Skill Trident Z5 RGB Neo white,17799.0,0,48,2,24,5,6000,28.0,1.35
393,G.Skill,G.Skill Trident Z5 RGB Neo black,32999.0,0,96,2,48,5,6000,28.0,1.35
394,Kingston,Kingston Fury Beast RGB black,2499.0,0,8,1,8,5,6000,30.0,1.4
395,Kingston,Kingston Fury Beast black,3650.0,0,16,1,16,5,6000,36.0,1.35
396,Kingston,Kingston Fury Beast RGB black,4150.0,0,16,1,16,5,6000,30.0,1.4
397,Dahua,Dahua C300,899.0,0,8,1,8,4,3200,22.0,1.2
398,G.Skill,G.Skill Aegis,2899.0,0,16,1,16,5,6000,36.0,1.35
399,Tforce,Tforce Delta RGB black,6499.0,0,32,1,32,5,6000,38.0,1.35
400,Tforce,Tforce Delta RGB white,6499.0,0,32,1,32,5,6000,38.0,1.35
401,G.Skill,G.Skill Aegis,5299.0,0,32,1,32,5,6000,36.0,1.35
402,Tforce,Tforce Delta RGB black,3999.0,0,16,2,8,5,6000,38.0,1.25
403,G.Skill,G.Skill Trident Z5 RGB Neo black,9250.0,0,32,2,16,5,6000,28.0,1.4
404,G.Skill,G.Skill Trident Z5 RGB Neo white,9250.0,0,32,2,16,5,6000,28.0,1.4
405,Tforce,Tforce Delta RGB black,9750.0,0,32,2,16,5,7600,36.0,1.4
406,Tforce,Tforce Delta RGB white,9750.0,0,32,2,16,5,7600,36.0,1.4
407,Tforce,Tforce Delta RGB black,11550.0,0,32,2,16,5,8000,38.0,1.45
408,Tforce,Tforce Delta RGB white,11550.0,0,32,2,16,5,8000,38.0,1.45
409,G.Skill,G.Skill Trident Z5 RGB Neo black,10950.0,0,48,2,24,5,6400,32.0,1.35
410,G.Skill,G.Skill Trident Z5 RGB Neo white,10950.0,0,48,2,24,5,6400,32.0,1.35
411,Tforce,Tforce Delta RGB black,15699.0,0,48,2,24,5,8000,38.0,1.4
412,G.Skill,G.Skill Trident Z5 Royal RGB silver,16500.0,0,48,2,24,5,8000,40.0,1.35
413,G.Skill,G.Skill Trident Z5 RGB Neo black,9599.0,0,48,2,24,5,6000,40.0,1.35
416,Tforce,Tforce Delta RGB black,10599.0,0,48,2,24,5,6400,32.0,1.35
417,Tforce,Tforce Delta RGB white,10599.0,0,48,2,24,5,6400,32.0,1.35
418,Kingston,Kingston Fury Beast RGB black,9899.0,0,32,2,16,5,6400,32.0,1.4
419,Kingston,Kingston Fury Beast RGB white,9899.0,0,32,2,16,5,6400,32.0,1.4
420,Kingston,Kingston Fury Beast RGB black,16799.0,1,64,2,32,5,6400,32.0,1.4
421,Kingston,Kingston Fury Beast RGB white,15099.0,0,64,2,32,5,6400,32.0,1.4
422,Tforce,Tforce Delta RGB black,6499.0,0,32,2,16,5,6000,38.0,1.35
423,Kingston,Kingston Fury Beast,15399.0,3,64,2,32,5,6400,32.0,1.4
424,Kingston,Kingston Fury Beast RGB black,16699.0,1,64,2,32,5,6400,32.0,1.4
425,Kingston,Kingston Fury Beast black,1850.0,0,8,1,8,5,5600,36.0,1.25
426,Kingston,Kingston Fury Beast black,2299.0,0,8,1,8,5,6000,30.0,1.4
427,Kingston,Kingston Fury Beast RGB black,4299.0,0,16,1,16,5,6000,36.0,1.35
428,Kingston,Kingston Fury Beast,4480.0,0,16,2,8,5,6000,30.0,1.4
429,Kingston,Kingston Fury Beast RGB,4199.0,0,16,2,8,5,6000,30.0,1.4
436,G.Skill,G.Skill Trident Z5 RGB black,25550.0,0,96,2,48,5,6000,30.0,1.35
437,Kingston,Kingston,1920.0,0,8,1,8,4,3200,22.0,1.2
438,Kingston,Kingston,3499.0,0,16,1,16,4,3200,22.0,1.2
439,G.Skill,G.Skill Ripjaws V black,2799.0,0,16,1,16,4,3200,16.0,1.35
440,G.Skill,G.Skill Trident Z Neo,4399.0,0,16,2,8,4,3200,16.0,1.35
441,G.Skill,G.Skill Trident Z RGB black,4099.0,0,16,2,8,4,3200,16.0,1.35
442,G.Skill,G.Skill Trident Z RGB black,7599.0,0,32,2,16,4,3600,18.0,1.35
443,G.Skill,G.Skill Flare X5 black,7650.0,0,32,2,16,5,6000,36.0,1.35
444,G.Skill,G.Skill Ripjaws M5 RGB Neo black,16999.0,0,32,2,16,5,6000,28.0,1.4
445,Patriot,Patriot Xtreme 5 RGB MPOWER,6999.0,0,32,2,16,5,6000,30.0,1.35
